observation_date,BAA,BAA10YM,AAA
1993-08-01,7.60,1.92,6.85
1993-09-01,7.34,1.98,6.66
1993-10-01,7.31,1.98,6.67
1993-11-01,7.66,1.94,6.93
1993-12-01,7.69,1.92,6.93
1994-01-01,7.65,1.90,6.92
1994-02-01,7.76,1.79,7.08
1994-03-01,8.13,1.65,7.48
1994-04-01,8.52,1.55,7.88
1994-05-01,8.62,1.44,7.99
1994-06-01,8.65,1.55,7.97
1994-07-01,8.80,1.50,8.11
1994-08-01,8.74,1.50,8.07
1994-09-01,8.98,1.52,8.34
1994-10-01,9.20,1.46,8.57
1994-11-01,9.32,1.36,8.68
1994-12-01,9.10,1.29,8.46
1995-01-01,9.08,1.30,8.46
1995-02-01,8.85,1.38,8.26
1995-03-01,8.70,1.50,8.12
1995-04-01,8.60,1.54,8.03
1995-05-01,8.20,1.57,7.65
1995-06-01,7.90,1.73,7.30
1995-07-01,8.04,1.76,7.41
1995-08-01,8.19,1.70,7.57
1995-09-01,7.93,1.73,7.32
1995-10-01,7.75,1.71,7.12
1995-11-01,7.68,1.75,7.02
1995-12-01,7.49,1.78,6.82
1996-01-01,7.47,1.82,6.81
1996-02-01,7.63,1.82,6.99
1996-03-01,8.03,1.76,7.35
1996-04-01,8.19,1.68,7.50
1996-05-01,8.30,1.56,7.62
1996-06-01,8.40,1.49,7.71
1996-07-01,8.35,1.48,7.65
1996-08-01,8.18,1.54,7.46
1996-09-01,8.35,1.52,7.66
1996-10-01,8.07,1.54,7.39
1996-11-01,7.79,1.59,7.10
1996-12-01,7.89,1.59,7.20
1997-01-01,8.09,1.51,7.42
1997-02-01,7.94,1.52,7.31
1997-03-01,8.18,1.49,7.55
1997-04-01,8.34,1.45,7.73
1997-05-01,8.20,1.49,7.58
1997-06-01,8.02,1.53,7.41
1997-07-01,7.75,1.53,7.14
1997-08-01,7.82,1.52,7.22
1997-09-01,7.70,1.49,7.15
1997-10-01,7.57,1.54,7.00
1997-11-01,7.42,1.54,6.87
1997-12-01,7.32,1.51,6.76
1998-01-01,7.19,1.65,6.61
1998-02-01,7.25,1.68,6.67
1998-03-01,7.32,1.67,6.72
1998-04-01,7.33,1.69,6.69
1998-05-01,7.30,1.65,6.69
1998-06-01,7.13,1.63,6.53
1998-07-01,7.15,1.69,6.55
1998-08-01,7.14,1.80,6.52
